Area,Age,Sex,Year at 30 June,Value,Flags
"Capital and Coast","15-39 Years","Male","2000",50400,
"Capital and Coast","15-39 Years","Male","2001",50300,
"Capital and Coast","15-39 Years","Male","2002",51000,
"Capital and Coast","15-39 Years","Male","2003",52100,
"Capital and Coast","15-39 Years","Male","2004",52700,
"Capital and Coast","15-39 Years","Male","2005",53000,
"Capital and Coast","15-39 Years","Male","2006",53600,
"Capital and Coast","15-39 Years","Male","2007",53400,
"Capital and Coast","15-39 Years","Male","2008",53100,
"Capital and Coast","15-39 Years","Male","2009",53300,
"Capital and Coast","15-39 Years","Male","2010",53300,
"Capital and Coast","15-39 Years","Male","2011",53200,
"Capital and Coast","15-39 Years","Male","2012",53100,
"Capital and Coast","15-39 Years","Male","2013",53100,
"Capital and Coast","15-39 Years","Male","2014",54000,
"Capital and Coast","15-39 Years","Male","2015",55600,
"Capital and Coast","15-39 Years","Male","2016",57200,
"Capital and Coast","15-39 Years","Male","2017",58400,
"Capital and Coast","15-39 Years","Male","2018",59800,
"Capital and Coast","15-39 Years","Male","2019",60200,
"Capital and Coast","15-39 Years","Male","2020",61100,
"Capital and Coast","15-39 Years","Female","1996",53000,
"Capital and Coast","15-39 Years","Female","1997",53600,
"Capital and Coast","15-39 Years","Female","1998",53700,
"Capital and Coast","15-39 Years","Female","1999",53900,
"Capital and Coast","15-39 Years","Female","2000",53700,
"Capital and Coast","15-39 Years","Female","2001",53800,
"Capital and Coast","15-39 Years","Female","2002",54600,
"Capital and Coast","15-39 Years","Female","2003",55800,
"Capital and Coast","15-39 Years","Female","2004",56600,
"Capital and Coast","15-39 Years","Female","2005",57200,
"Capital and Coast","15-39 Years","Female","2006",58000,
"Capital and Coast","15-39 Years","Female","2007",57900,
"Capital and Coast","15-39 Years","Female","2008",57700,
"Capital and Coast","15-39 Years","Female","2009",57700,
"Capital and Coast","15-39 Years","Female","2010",57600,
"Capital and Coast","15-39 Years","Female","2011",57400,
"Capital and Coast","15-39 Years","Female","2012",57000,
"Capital and Coast","15-39 Years","Female","2013",56600,
"Capital and Coast","15-39 Years","Female","2014",57300,
"Capital and Coast","15-39 Years","Female","2015",58300,
"Capital and Coast","15-39 Years","Female","2016",59600,
"Capital and Coast","15-39 Years","Female","2017",60700,
"Capital and Coast","15-39 Years","Female","2018",62000,
"Capital and Coast","15-39 Years","Female","2019",63300,
"Capital and Coast","15-39 Years","Female","2020",64600,
"Capital and Coast","15-39 Years","Total people, sex","1996",103400,
"Capital and Coast","15-39 Years","Total people, sex","1997",104500,
"Capital and Coast","15-39 Years","Total people, sex","1998",104700,
"Capital and Coast","15-39 Years","Total people, sex","1999",104500,
"Capital and Coast","15-39 Years","Total people, sex","2000",104100,
"Capital and Coast","15-39 Years","Total people, sex","2001",104100,
"Capital and Coast","15-39 Years","Total people, sex","2002",105600,
"Capital and Coast","15-39 Years","Total people, sex","2003",107900,
"Capital and Coast","15-39 Years","Total people, sex","2004",109300,
"Capital and Coast","15-39 Years","Total people, sex","2005",110300,
"Capital and Coast","15-39 Years","Total people, sex","2006",111600,
"Capital and Coast","15-39 Years","Total people, sex","2007",111300,
"Capital and Coast","15-39 Years","Total people, sex","2008",110800,
"Capital and Coast","15-39 Years","Total people, sex","2009",111000,
"Capital and Coast","15-39 Years","Total people, sex","2010",110900,
"Capital and Coast","15-39 Years","Total people, sex","2011",110600,
"Capital and Coast","15-39 Years","Total people, sex","2012",110100,
"Capital and Coast","15-39 Years","Total people, sex","2013",109700,
"Capital and Coast","15-39 Years","Total people, sex","2014",111200,
"Capital and Coast","15-39 Years","Total people, sex","2015",113900,
"Capital and Coast","15-39 Years","Total people, sex","2016",116800,
"Capital and Coast","15-39 Years","Total people, sex","2017",119100,
"Capital and Coast","15-39 Years","Total people, sex","2018",121700,
"Capital and Coast","15-39 Years","Total people, sex","2019",123500,
"Capital and Coast","15-39 Years","Total people, sex","2020",125700,
"Wairarapa","15-39 Years","Male","1996",6300,
"Wairarapa","15-39 Years","Male","1997",6200,
"Wairarapa","15-39 Years","Male","1998",6000,
"Wairarapa","15-39 Years","Male","1999",5800,
"Wairarapa","15-39 Years","Male","2000",5800,
"Wairarapa","15-39 Years","Male","2001",5600,
"Wairarapa","15-39 Years","Male","2002",5600,
"Wairarapa","15-39 Years","Male","2003",5600,
"Wairarapa","15-39 Years","Male","2004",5500,
"Wairarapa","15-39 Years","Male","2005",5400,
"Wairarapa","15-39 Years","Male","2006",5400,
"Wairarapa","15-39 Years","Male","2007",5300,
"Wairarapa","15-39 Years","Male","2008",5300,
"Wairarapa","15-39 Years","Male","2009",5300,
"Wairarapa","15-39 Years","Male","2010",5300,
"Wairarapa","15-39 Years","Male","2011",5300,
"Wairarapa","15-39 Years","Male","2012",5300,
"Wairarapa","15-39 Years","Male","2013",5300,
"Wairarapa","15-39 Years","Male","2014",5400,
"Wairarapa","15-39 Years","Male","2015",5600,
"Wairarapa","15-39 Years","Male","2016",5800,
"Wairarapa","15-39 Years","Male","2017",5900,
"Wairarapa","15-39 Years","Male","2018",6100,
"Wairarapa","15-39 Years","Male","2019",6300,
"Wairarapa","15-39 Years","Male","2020",6500,
"Wairarapa","15-39 Years","Female","1996",6500,
"Wairarapa","15-39 Years","Female","1997",6400,
"Wairarapa","15-39 Years","Female","1998",6300,
"Wairarapa","15-39 Years","Female","1999",6100,
"Wairarapa","15-39 Years","Female","2000",5900,
"Wairarapa","15-39 Years","Female","2001",5800,
"Wairarapa","15-39 Years","Female","2002",5700,
"Wairarapa","15-39 Years","Female","2003",5600,
"Wairarapa","15-39 Years","Female","2004",5600,
"Wairarapa","15-39 Years","Female","2005",5600,
"Wairarapa","15-39 Years","Female","2006",5500,
"Wairarapa","15-39 Years","Female","2007",5500,
"Wairarapa","15-39 Years","Female","2008",5600,
"Wairarapa","15-39 Years","Female","2009",5600,
"Wairarapa","15-39 Years","Female","2010",5600,
"Wairarapa","15-39 Years","Female","2011",5500,
"Wairarapa","15-39 Years","Female","2012",5500,
"Wairarapa","15-39 Years","Female","2013",5500,
"Wairarapa","15-39 Years","Female","2014",5500,
"Wairarapa","15-39 Years","Female","2015",5600,
"Wairarapa","15-39 Years","Female","2016",5800,
"Wairarapa","15-39 Years","Female","2017",5900,
"Wairarapa","15-39 Years","Female","2018",6100,
"Wairarapa","15-39 Years","Female","2019",6100,
"Wairarapa","15-39 Years","Female","2020",6300,
"Wairarapa","15-39 Years","Total people, sex","1996",12800,
"Wairarapa","15-39 Years","Total people, sex","1997",12600,
"Wairarapa","15-39 Years","Total people, sex","1998",12300,
"Wairarapa","15-39 Years","Total people, sex","1999",11900,
"Wairarapa","15-39 Years","Total people, sex","2000",11700,
"Wairarapa","15-39 Years","Total people, sex","2001",11400,
"Wairarapa","15-39 Years","Total people, sex","2002",11300,
"Wairarapa","15-39 Years","Total people, sex","2003",11200,
"Wairarapa","15-39 Years","Total people, sex","2004",11100,
"Wairarapa","15-39 Years","Total people, sex","2005",11000,
"Wairarapa","15-39 Years","Total people, sex","2006",10900,
"Wairarapa","15-39 Years","Total people, sex","2007",10800,
"Wairarapa","15-39 Years","Total people, sex","2008",10900,
"Wairarapa","15-39 Years","Total people, sex","2009",10900,
"Wairarapa","15-39 Years","Total people, sex","2010",10900,
"Wairarapa","15-39 Years","Total people, sex","2011",10900,
"Wairarapa","15-39 Years","Total people, sex","2012",10800,
"Wairarapa","15-39 Years","Total people, sex","2013",10800,
"Wairarapa","15-39 Years","Total people, sex","2014",11000,
"Wairarapa","15-39 Years","Total people, sex","2015",11200,
"Wairarapa","15-39 Years","Total people, sex","2016",11600,
"Wairarapa","15-39 Years","Total people, sex","2017",11800,
"Wairarapa","15-39 Years","Total people, sex","2018",12200,
"Wairarapa","15-39 Years","Total people, sex","2019",12400,
"Wairarapa","15-39 Years","Total people, sex","2020",12800,
"Nelson Marlborough","15-39 Years","Male","1996",21300,
"Nelson Marlborough","15-39 Years","Male","1997",21200,
"Nelson Marlborough","15-39 Years","Male","1998",20900,
"Nelson Marlborough","15-39 Years","Male","1999",20500,
"Nelson Marlborough","15-39 Years","Male","2000",20200,
"Nelson Marlborough","15-39 Years","Male","2001",19900,
"Nelson Marlborough","15-39 Years","Male","2002",19900,
"Nelson Marlborough","15-39 Years","Male","2003",20000,
"Nelson Marlborough","15-39 Years","Male","2004",20100,
"Nelson Marlborough","15-39 Years","Male","2005",20000,
"Nelson Marlborough","15-39 Years","Male","2006",19900,
"Nelson Marlborough","15-39 Years","Male","2007",19800,
"Nelson Marlborough","15-39 Years","Male","2008",19500,
"Nelson Marlborough","15-39 Years","Male","2009",19200,
"Nelson Marlborough","15-39 Years","Male","2010",19000,
"Nelson Marlborough","15-39 Years","Male","2011",18900,
"Nelson Marlborough","15-39 Years","Male","2012",18400,
"Nelson Marlborough","15-39 Years","Male","2013",18300,
"Nelson Marlborough","15-39 Years","Male","2014",18800,
"Nelson Marlborough","15-39 Years","Male","2015",19500,
"Nelson Marlborough","15-39 Years","Male","2016",20200,
"Nelson Marlborough","15-39 Years","Male","2017",20700,
"Nelson Marlborough","15-39 Years","Male","2018",21300,
"Nelson Marlborough","15-39 Years","Male","2019",21800,
"Nelson Marlborough","15-39 Years","Male","2020",22400,
"Nelson Marlborough","15-39 Years","Female","1996",20700,
"Nelson Marlborough","15-39 Years","Female","1997",20700,
"Nelson Marlborough","15-39 Years","Female","1998",20600,
"Nelson Marlborough","15-39 Years","Female","1999",20400,
"Nelson Marlborough","15-39 Years","Female","2000",20200,
"Nelson Marlborough","15-39 Years","Female","2001",20000,
"Nelson Marlborough","15-39 Years","Female","2002",20000,
"Nelson Marlborough","15-39 Years","Female","2003",20100,
"Nelson Marlborough","15-39 Years","Female","2004",20000,
"Nelson Marlborough","15-39 Years","Female","2005",19900,
"Nelson Marlborough","15-39 Years","Female","2006",19800,
"Nelson Marlborough","15-39 Years","Female","2007",19700,
"Nelson Marlborough","15-39 Years","Female","2008",19600,
"Nelson Marlborough","15-39 Years","Female","2009",19400,
"Nelson Marlborough","15-39 Years","Female","2010",19200,
"Nelson Marlborough","15-39 Years","Female","2011",19100,
"Nelson Marlborough","15-39 Years","Female","2012",18800,
"Nelson Marlborough","15-39 Years","Female","2013",18600,
"Nelson Marlborough","15-39 Years","Female","2014",18800,
"Nelson Marlborough","15-39 Years","Female","2015",19100,
"Nelson Marlborough","15-39 Years","Female","2016",19600,
"Nelson Marlborough","15-39 Years","Female","2017",19900,
"Nelson Marlborough","15-39 Years","Female","2018",20300,
"Nelson Marlborough","15-39 Years","Female","2019",20700,
"Nelson Marlborough","15-39 Years","Female","2020",21100,
"Nelson Marlborough","15-39 Years","Total people, sex","1996",42000,
"Nelson Marlborough","15-39 Years","Total people, sex","1997",41900,
"Nelson Marlborough","15-39 Years","Total people, sex","1998",41500,
"Nelson Marlborough","15-39 Years","Total people, sex","1999",40900,
"Nelson Marlborough","15-39 Years","Total people, sex","2000",40400,
"Nelson Marlborough","15-39 Years","Total people, sex","2001",39900,
"Nelson Marlborough","15-39 Years","Total people, sex","2002",39900,
"Nelson Marlborough","15-39 Years","Total people, sex","2003",40100,
"Nelson Marlborough","15-39 Years","Total people, sex","2004",40100,
"Nelson Marlborough","15-39 Years","Total people, sex","2005",39900,
"Nelson Marlborough","15-39 Years","Total people, sex","2006",39700,
"Nelson Marlborough","15-39 Years","Total people, sex","2007",39400,
"Nelson Marlborough","15-39 Years","Total people, sex","2008",39100,
"Nelson Marlborough","15-39 Years","Total people, sex","2009",38600,
"Nelson Marlborough","15-39 Years","Total people, sex","2010",38200,
"Nelson Marlborough","15-39 Years","Total people, sex","2011",37900,
"Nelson Marlborough","15-39 Years","Total people, sex","2012",37200,
"Nelson Marlborough","15-39 Years","Total people, sex","2013",36900,
"Nelson Marlborough","15-39 Years","Total people, sex","2014",37600,
"Nelson Marlborough","15-39 Years","Total people, sex","2015",38600,
"Nelson Marlborough","15-39 Years","Total people, sex","2016",39800,
"Nelson Marlborough","15-39 Years","Total people, sex","2017",40600,
"Nelson Marlborough","15-39 Years","Total people, sex","2018",41500,
"Nelson Marlborough","15-39 Years","Total people, sex","2019",42600,
"Nelson Marlborough","15-39 Years","Total people, sex","2020",43600,
"West Coast","15-39 Years","Male","1996",6000,
"West Coast","15-39 Years","Male","1997",5800,
"West Coast","15-39 Years","Male","1998",5500,
"West Coast","15-39 Years","Male","1999",5200,
"West Coast","15-39 Years","Male","2000",5000,
"West Coast","15-39 Years","Male","2001",4800,
"West Coast","15-39 Years","Male","2002",4800,
"West Coast","15-39 Years","Male","2003",4800,
"West Coast","15-39 Years","Male","2004",4700,
"West Coast","15-39 Years","Male","2005",4700,
"West Coast","15-39 Years","Male","2006",4700,
"West Coast","15-39 Years","Male","2007",4700,
"West Coast","15-39 Years","Male","2008",4700,
"West Coast","15-39 Years","Male","2009",4700,
"West Coast","15-39 Years","Male","2010",4700,
"West Coast","15-39 Years","Male","2011",4600,
"West Coast","15-39 Years","Male","2012",4500,
"West Coast","15-39 Years","Male","2013",4400,
"West Coast","15-39 Years","Male","2014",4400,
"West Coast","15-39 Years","Male","2015",4400,
"West Coast","15-39 Years","Male","2016",4400,
"West Coast","15-39 Years","Male","2017",4400,
"West Coast","15-39 Years","Male","2018",4300,
"West Coast","15-39 Years","Male","2019",4300,
"West Coast","15-39 Years","Male","2020",4300,
"West Coast","15-39 Years","Female","1996",5800,
"West Coast","15-39 Years","Female","1997",5600,
"West Coast","15-39 Years","Female","1998",5500,
"West Coast","15-39 Years","Female","1999",5200,
"West Coast","15-39 Years","Female","2000",5000,
"West Coast","15-39 Years","Female","2001",4700,
"West Coast","15-39 Years","Female","2002",4800,
"West Coast","15-39 Years","Female","2003",4800,
"West Coast","15-39 Years","Female","2004",4700,
"West Coast","15-39 Years","Female","2005",4700,
"West Coast","15-39 Years","Female","2006",4700,
"West Coast","15-39 Years","Female","2007",4800,
"West Coast","15-39 Years","Female","2008",4800,
"West Coast","15-39 Years","Female","2009",4800,
"West Coast","15-39 Years","Female","2010",4700,
"West Coast","15-39 Years","Female","2011",4700,
"West Coast","15-39 Years","Female","2012",4600,
"West Coast","15-39 Years","Female","2013",4500,
"West Coast","15-39 Years","Female","2014",4400,
"West Coast","15-39 Years","Female","2015",4400,
"West Coast","15-39 Years","Female","2016",4400,
"West Coast","15-39 Years","Female","2017",4400,
"West Coast","15-39 Years","Female","2018",4300,
"West Coast","15-39 Years","Female","2019",4200,
"West Coast","15-39 Years","Female","2020",4100,
"West Coast","15-39 Years","Total people, sex","1996",11700,
"West Coast","15-39 Years","Total people, sex","1997",11400,
"West Coast","15-39 Years","Total people, sex","1998",11000,
"West Coast","15-39 Years","Total people, sex","1999",10400,
"West Coast","15-39 Years","Total people, sex","2000",10000,
"West Coast","15-39 Years","Total people, sex","2001",9500,
"West Coast","15-39 Years","Total people, sex","2002",9500,
"West Coast","15-39 Years","Total people, sex","2003",9600,
"West Coast","15-39 Years","Total people, sex","2004",9500,
"West Coast","15-39 Years","Total people, sex","2005",9400,
"West Coast","15-39 Years","Total people, sex","2006",9400,
"West Coast","15-39 Years","Total people, sex","2007",9500,
"West Coast","15-39 Years","Total people, sex","2008",9500,
"West Coast","15-39 Years","Total people, sex","2009",9400,
"West Coast","15-39 Years","Total people, sex","2010",9400,
"West Coast","15-39 Years","Total people, sex","2011",9300,
"West Coast","15-39 Years","Total people, sex","2012",9100,
"West Coast","15-39 Years","Total people, sex","2013",8900,
"West Coast","15-39 Years","Total people, sex","2014",8800,
"West Coast","15-39 Years","Total people, sex","2015",8700,
"West Coast","15-39 Years","Total people, sex","2016",8800,
"West Coast","15-39 Years","Total people, sex","2017",8700,
